name,zone,income,lifeExpectancy,population
Albanie,Europe et Asie centrale,5165.121207,74.27153659,3089027
Algérie,Moyen-Orient et Afrique du Nord,10211.10337,70.18390244,31183658
Angola,Afrique subsaharienne,3831.000021,45.20478049,15058638
Antigua-et-Barbuda,Amérique latine et Caraïbes,19318.71849,73.39729268,77648
Arménie,Europe et Asie centrale,2918.557686,71.27658537,3076098
Australie,Asie de l’Est et Pacifique,35244.50263,79.23414634,19153000
Autriche,Europe et Asie centrale,38622.92558,78.12682927,8011566
Azerbaïdjan,Europe et Asie centrale,4458.998423,66.7582439,8048600
Bahamas,Amérique latine et Caraïbes,25846.70857,72.25429268,297891
Bahreïn,Moyen-Orient et Afrique du Nord,45156.14357,74.5994878,666855
Bangladesh,Asie du Sud,1645.717242,65.34797561,131280739
Barbade,Amérique latine et Caraïbes,14437.50356,73.2195122,269838
Bélarus,Europe et Asie centrale,7299.604275,68.91219512,10005000
Belgique,Europe et Asie centrale,36901.24318,77.72195122,10251250
Belize,Amérique latine et Caraïbes,6953.7627,68.41887805,247312
Bénin,Afrique subsaharienne,1646.464433,55.1882439,6949366
Bhoutan,Asie du Sud,3596.661058,60.65039024,564187
Bolivie,Amérique latine et Caraïbes,4412.255626,60.69004878,8339512
Bosnie-Herzégovine,Europe et Asie centrale,6217.080333,74.26073171,3792878
Botswana,Afrique subsaharienne,10361.31364,48.69363415,1736579
Brésil,Amérique latine et Caraïbes,11308.43784,70.04197561,175786441
Brunéi Darussalam,Asie de l’Est et Pacifique,74755.9277,75.28880488,330554
Bulgarie,Europe et Asie centrale,8945.390742,71.66341463,8170172
Burkina Faso,Afrique subsaharienne,1045.953314,50.34592683,11607944
Burundi,Afrique subsaharienne,713.2697675,51.4854878,6767073
Cap-Vert,Afrique subsaharienne,3803.260335,69.72439024,438737
Cambodge,Asie de l’Est et Pacifique,1370.822021,58.35087805,12197905
Cameroun,Afrique subsaharienne,2403.863858,51.93587805,15927713
Canada,Amérique du Nord,37431.91698,79.23658537,30769700
République centrafricaine,Afrique subsaharienne,834.7545028,44.59729268,3726048
Chili,Amérique latine et Caraïbes,14887.8983,76.82082927,15170387
Chine,Asie de l’Est et Pacifique,3678.160366,71.73046341,1262645000
Colombie,Amérique latine et Caraïbes,8308.222744,70.98870732,40403959
Comores,Afrique subsaharienne,1415.811812,59.43890244,547696
République démocratique du Congo,Afrique subsaharienne,518.497586,50.00287805,48048664
République du Congo,Afrique subsaharienne,4647.953197,50.58987805,3109269
Costa Rica,Amérique latine et Caraïbes,9574.127325,77.42268293,3925450
Côte d'Ivoire,Afrique subsaharienne,2977.695346,46.69939024,16517948
Croatie,Europe et Asie centrale,15644.05342,72.80780488,4426000
Chypre,Europe et Asie centrale,29944.99031,77.97168293,943287
République tchèque,Europe et Asie centrale,21003.2123,74.96829268,10255063
Danemark,Europe et Asie centrale,41692.70929,76.59268293,5339616
Djibouti,Moyen-Orient et Afrique du Nord,2116.579578,57.01034146,722562
Dominique,Amérique latine et Caraïbes,8048.610185,70.63373171,8562623
Équateur,Amérique latine et Caraïbes,7387.615879,72.94417073,12628596
Égypte,Moyen-Orient et Afrique du Nord,7556.709886,68.5907561,68334905
El Salvador,Amérique latine et Caraïbes,6424.887207,68.71704878,5811836
Guinée équatoriale,Afrique subsaharienne,11661.09415,52.10863415,530896
Estonie,Europe et Asie centrale,15298.2294,70.41707317,1396985
Éthiopie,Afrique subsaharienne,619.1143358,51.93034146,66443603
Fidji,Asie de l’Est et Pacifique,7070.05243,67.60585366,811223
Finlande,Europe et Asie centrale,34516.59549,77.46585366,5176209
France,Europe et Asie centrale,34773.43177,79.05609756,60912498
Gabon,Afrique subsaharienne,17776.35672,59.3394878,1231548
Gambie,Afrique subsaharienne,1564.23342,55.57607317,1228863
Géorgie,Europe et Asie centrale,3268.010966,71.61582927,4418300
Allemagne,Europe et Asie centrale,36979.33911,77.92682927,82211508
Ghana,Afrique subsaharienne,2272.709916,56.98709756,18824994
Grèce,Europe et Asie centrale,25300.04883,77.88780488,10805808
Grenade,Amérique latine et Caraïbes,9651.393839,70.25160976,101620
Guatemala,Amérique latine et Caraïbes,6051.020403,67.74270732,11688660
Guinée,Afrique subsaharienne,1132.039348,51.24290244,8799165
Guinée-Bissau,Afrique subsaharienne,1285.605381,51.44543902,1315455
Guyane,Amérique latine et Caraïbes,4580.093212,64.97314634,742218
Haïti,Amérique latine et Caraïbes,1739.516563,57.67604878,8549202
Honduras,Amérique latine et Caraïbes,3478.43453,70.49419512,6243080
Hong Kong,Asie de l’Est et Pacifique,34016.81545,80.87804878,6665000
Hongrie,Europe et Asie centrale,17766.04683,71.24634146,10210971
Islande,Europe et Asie centrale,33674.67872,79.65365854,281205
Inde,Asie du Sud,2521.343487,62.63063415,1053481072
Indonésie,Asie de l’Est et Pacifique,5805.808734,66.24687805,211540428
Iran,Moyen-Orient et Afrique du Nord,11904.67169,70.13719512,65850062
Iraq,Moyen-Orient et Afrique du Nord,12171.99136,69.17880488,23574751
Irlande,Europe et Asie centrale,39836.97091,76.53658537,3805174
Israël,Moyen-Orient et Afrique du Nord,26137.01842,78.95365854,6289000
Italie,Europe et Asie centrale,36056.71794,79.77804878,56942108
Jamaïque,Amérique latine et Caraïbes,8134.101466,72.31317073,2589389
Japon,Asie de l’Est et Pacifique,32193.65047,81.07609756,126843000
Jordanie,Moyen-Orient et Afrique du Nord,7742.490165,71.7797561,4767476
Kazakhstan,Europe et Asie centrale,10371.40835,65.51707317,14883626
Kenya,Afrique subsaharienne,2158.48511,50.78517073,31065820
Kiribati,Asie de l’Est et Pacifique,1769.790828,63.95068293,84406
Corée du Sud,Asie de l’Est et Pacifique,20756.77579,75.83536585,47008111
Kosovo,Europe et Asie centrale,4635.344024,67.95121951,1700000
