name,id,votes,percent,candidate,party
Avalon,10001,84,0.2%,Jennifer McCreath,Forces et Démocratie - Allier les forces de nos régions
Avalon,10001,228,0.5%,Krista Byrne-Puumala,Parti Vert
Avalon,10001,4670,11.1%,Lorraine E. Barnett,Conservateur
Avalon,10001,6075,14.4%,Jeannie Baldwin,NPD-Nouveau Parti Démocratique
Avalon,10001,7501,17.8%,Scott Andrews,Aucune appartenance
Avalon,10001,23528,55.9%,Ken McDonald,Libéral
Bonavista--Burin--Trinity,10002,297,0.8%,Tyler John Colbourne,Parti Vert
Bonavista--Burin--Trinity,10002,2557,7.3%,Jenn Brown,NPD-Nouveau Parti Démocratique
Bonavista--Burin--Trinity,10002,3534,10.1%,Mike Windsor,Conservateur
Bonavista--Burin--Trinity,10002,28704,81.8%,Judy M. Foote,Libéral
Coast of Bays--Central--Notre Dame,10003,271,0.8%,Elizabeth Perry,Parti Vert
Coast of Bays--Central--Notre Dame,10003,2175,6.1%,Claudette Menchenton,NPD-Nouveau Parti Démocratique
Coast of Bays--Central--Notre Dame,10003,6479,18.3%,Kevin George O'Brien,Conservateur
Coast of Bays--Central--Notre Dame,10003,26523,74.8%,Scott Simms,Libéral
Labrador,10004,1716,13.9%,Peter Penashue,Conservateur
Labrador,10004,1779,14.4%,Edward Rudkowski,NPD-Nouveau Parti Démocratique
Labrador,10004,8878,71.8%,Yvonne Jones,Libéral
Long Range Mountains,10005,1111,2.7%,Terry Cormier,Parti Vert
Long Range Mountains,10005,4739,11.3%,Devon Babstock,NPD-Nouveau Parti Démocratique
Long Range Mountains,10005,5085,12.2%,Wayne Ruth,Conservateur
Long Range Mountains,10005,30889,73.9%,Gudie Hutchings,Libéral
St. John's East/St. John's-Est,10006,140,0.3%,Sean Burton,Communiste
St. John's East/St. John's-Est,10006,500,1.1%,David Anthony Peters,Parti Vert
St. John's East/St. John's-Est,10006,2938,6.5%,Deanne Stapleton,Conservateur
St. John's East/St. John's-Est,10006,20328,45.3%,Jack Harris,NPD-Nouveau Parti Démocratique
St. John's East/St. John's-Est,10006,20974,46.7%,Nick Whalen,Libéral
St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl,10007,365,0.8%,Jackson McLean,Parti Vert
St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl,10007,2047,4.6%,Marek Krol,Conservateur
St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl,10007,16467,36.8%,Ryan Cleary,NPD-Nouveau Parti Démocratique
St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl,10007,25922,57.9%,Seamus O'Regan,Libéral
Cardigan,11001,295,1.3%,Christene Squires,Parti de l'Héritage Chrétien
Cardigan,11001,1434,6.4%,Teresa Doyle,Parti Vert
Cardigan,11001,2503,11.1%,Billy Cann,NPD-Nouveau Parti Démocratique
Cardigan,11001,3632,16.2%,Julius Patkai,Conservateur
Cardigan,11001,14621,65%,Lawrence MacAulay,Libéral
Charlottetown,11002,1222,5.8%,Becka Viau,Parti Vert
Charlottetown,11002,3136,14.8%,Ron MacMillan,Conservateur
Charlottetown,11002,4897,23.1%,Joe Byrne,NPD-Nouveau Parti Démocratique
Charlottetown,11002,11910,56.3%,Sean Casey,Libéral
Egmont,11003,559,2.6%,Nils Ling,Parti Vert
Egmont,11003,4097,19.2%,Herb Dickieson,NPD-Nouveau Parti Démocratique
Egmont,11003,6185,29%,Gail Shea,Conservateur
Egmont,11003,10521,49.3%,Bobby Morrissey,Libéral
Malpeque,11004,2066,9.2%,Lynne Lund,Parti Vert
Malpeque,11004,2509,11.2%,Leah-Jane Hayward,NPD-Nouveau Parti Démocratique
Malpeque,11004,3947,17.6%,Stephen Stewart,Conservateur
Malpeque,11004,13950,62.1%,Wayne Easter,Libéral
Cape Breton--Canso,12001,1281,3%,Maria Goretti Coady,Parti Vert
Cape Breton--Canso,12001,3547,8.2%,Michelle Smith,NPD-Nouveau Parti Démocratique
Cape Breton--Canso,12001,6246,14.4%,Adam Daniel Rodgers,Conservateur
Cape Breton--Canso,12001,32163,74.4%,Rodger Cuzner,Libéral
Central Nova/Nova-Centre,12002,570,1.3%,Alexander J. MacKenzie,Indépendant
Central Nova/Nova-Centre,12002,1834,4.1%,David Hachey,Parti Vert
Central Nova/Nova-Centre,12002,4532,10.2%,Ross Landry,NPD-Nouveau Parti Démocratique
Central Nova/Nova-Centre,12002,11418,25.8%,Fred DeLorey,Conservateur
