id,name,public|private,idsRapport,sectors,province
1,Shell Canada Limited,private,"['374736', '106876', '166127', '200689', '200690', '200691', '200692', '200693', '200694', '203668', '236970', '254795', '254796', '391557', '374737']","['Energy', 'Climate']",AB
2,Environment and Climate Change Canada (ECCC),public,"['374736', '419710', '418040', '423931', '382956', '375224', '393719', '433434', '466626', '373646', '377920', '387104', '445434', '442419', '374839', '383527', '439829', '465647', '377827', '366083', '407517', '392879', '429504', '453815', '453821', '453823', '444609', '444600', '438078', '397316', '420821', '423263', '423266', '402085', '371515', '415451', '402709', '380676', '384027', '388996', '393335', '402708', '422671', '427940', '427968', '431678', '448764', '454284', '365024', '366755', '366760', '371836', '371838', '376770', '378546', '380470', '385158', '391818', '391839', '391841', '392405', '392407', '394502', '396278', '404016', '405267', '410383', '416838', '422467', '434009', '434010', '444118', '445850', '450142', '455614', '455627', '455628', '458812', '458813', '465197', '465200', '465201', '453170', '366753', '432580', '458195', '379940', '383282', '383291', '385356', '385361', '385654', '387327', '387330', '387331', '387336', '392743', '396962', '398209', '398210', '400354', '409901', '409905', '429975', '429976', '435510', '439022', '446634', '455510', '455548', '457743', '461197', '468044', '468045', '415404', '441981', '461332', '461304', '464475', '432501', '432552', '441629', '441644', '441702', '441722', '442001', '442023', '458031', '462578', '462584', '463952', '384266', '388956', '408759', '410485', '450807', '380250', '431415', '450597', '381856', '425060', '386312', '460867', '463124', '463747', '425059', '445975', '394024', '444963', '446791', '463452', '465882', '445165', '446793', '456983', '393448', '406469', '398829', '398833', '437767', '441986', '458216', '445360', '410152', '410153', '369200', '403287', '392554', '406879', '408207', '410237', '413678', '439183', '452944', '452964', '461577', '465087', '465088', '468369', '435876', '439210', '422201', '442827', '435923', '413573', '378491', '378509', '390202', '390206', '392234', '403238', '428527', '366514', '374080', '384990', '385883', '406970', '415798', '432159', '467027', '467040', '467044', '440656', '378927', '378962', '381095', '388743', '390229', '395840', '425434', '439264', '439289', '448034', '452780', '452785', '426812', '439200', '433006', '440816', '442929', '426197', '369593', '388486', '392690', '366600', '366603', '366604', '381348', '382490', '382493', '385638', '398867', '398871', '405691', '406954', '407864', '416162', '417742', '424404', '424405', '424412', '428202', '431039', '433635', '442574', '443834', '443837', '461612', '461615', '464670', '365343', '381341', '436050', '443828', '439044', '461603', '393940', '380332', '390665', '390666', '423378', '368549', '428550', '375872', '388636', '399937', '406860', '407229', '407230', '413511', '413576', '413763', '413801', '433517', '435311', '435312', '439062', '442551', '442557', '443664', '443665', '447753', '449913', '452561', '452563', '465427', '403833', '413969', '425357', '463953', '375603', '395159', '463991', '374955', '407223', '410357', '414495', '432502', '438777', '441621', '441628', '444443', '451035', '454984', '455003', '463413', '463418', '412811', '412843', '421999', '422010', '425499', '428860', '428875', '435276', '435293', '438782', '448028', '448046', '437766', '408046', '449200', '456251', '456252', '457091', '465384', '388149', '437107', '438143', '438150', '438154', '438156', '438158', '466516', '422545', '424269', '374964', '468426', '468427', '393959', '402851', '417856', '429586', '430462', '430464', '430465', '435199', '438492', '444959', '400286', '444937', '444952', '379083', '440978', '446006', '446007', '433475', '383551', '387370', '411466', '424326', '424862', '424990', '429298', '430434', '430436', '432358', '433481', '433482', '441863', '441893', '374834', '374835', '374838', '395710', '405697', '427099', '427100', '441407', '441411', '447152', '452289', '406298', '409611', '416050', '419282', '420884', '420885', '423579', '423581', '426139', '428518', '433455', '433457', '438320', '445297', '447869', '451961', '451962', '460099', '383622', '383625', '383626', '383627', '389089', '394601', '394604', '403486', '405491', '405495', '422887', '422888', '372709', '432936', '432946', '440532', '465929', '371870', '383046', '387012', '399279', '399283', '399700', '399701', '410658', '410678', '427737', '444412', '453029', '379321', '379327', '397742', '399242', '418027', '423206', '423218', '426679', '426784', '429121', '430382', '432882', '432883', '435193', '435310', '439370', '439409', '439427', '439434', '439443', '442366', '442376', '400214', '457902', '366242', '389614', '375975', '403588', '407394', '425529', '430562', '441330', '446962', '446971', '449165', '449168', '449193', '452011', '382066', '384246', '384249', '384250', '386906', '386914', '388930', '389529', '389530', '389623', '392225', '395382', '399880', '399888', '402205', '409014', '418191', '421016', '425114', '425115', '425116', '427790', '430602', '437610', '437616', '440994', '440998', '441000', '456867', '382634', '400986', '401699', '401700', '420113', '442240', '394482', '364899', '458199', '365331', '365338', '374859', '377237', '381345', '381364', '382501', '382504', '383575', '383577', '388481', '388504', '388507', '391511', '391526', '396987', '406953', '407914', '417737', '452760', '461582', '381711', '448002', '452963', '364881', '445359', '445363', '447241', '447244', '460917', '464243', '468874', '468879', '468880', '468901', '461881', '462480', '464428', '392328', '396785', '406142', '407399', '449058', '380474', '392408', '401049', '382630', '408242', '432471', '439087', '376771', '398229', '406018', '406019', '408510', '409603', '423260', '467708', '422284', '426091', '397971', '426976', '376289', '386143', '443923', '445784', '447348', '448695', '450303', '450742', '450907', '450908', '452446', '453864', '456572', '457737', '461264', '369246', '399714', '399715', '427051', '461328', '463691', '378184', '378186', '403328', '431250', '460349', '396282', '436461', '442978', '447500', '383051', '384013', '389062', '392345', '393236', '408213', '408218', '385373', '416054', '416066', '432469', '442693', '467155', '445035', '450114', '403717', '403723', '403331', '409417', '419883', '425648', '445764', '462826', '462894', '397185', '465461', '410422', '392336', '403249', '403250', '387824', '394111', '387836', '399476', '427600', '453034', '453035', '468590', '456440', '456444', '399902', '461296', '465728', '373477', '383316', '373514', '365482', '369645', '374532', '366942', '366944', '366945', '366946', '366947', '373029', '388745', '464367', '464370', '464374', '467045', '388326', '391271', '381190', '413319', '426275', '445084', '447771', '448041', '392583', '464040', '369957', '378341', '375486', '384621', '365624', '384020', '436584', '457863', '460743', '460887', '462915', '369446', '376920', '376990', '379338', '380838', '389709', '421955', '435228', '370763', '407764', '462467', '464372', '445379', '461897', '443356', '391189', '386244', '381267', '426473', '406624', '422538', '422540', '426477', '429235', '429269', '433905', '439938', '440239', '443216', '450421', '459005', '381583', '387927', '394451', '381184', '378659', '429038', '429061', '387023', '408323', '376820', '378666', '390010', '401197', '406697', '398929', '381578', '385610', '383749', '385600', '426094', '377539', '401263', '420785', '374860', '374337', '377530', '378270', '375219', '380336', '383641', '382890', '439304', '391834', '405523', '384500', '385312', '407377', '384920', '375148', '376506', '383052', '384019', '389061', '393234', '408211', '417337', '419492', '432459', '440294', '456218', '457862', '460885', '462828', '465354', '389632', '403302', '385818', '399727', '385383', '401390', '445268', '380256', '438902', '453505', '386449', '422765', '429861', '429862', '465629', '466216', '466695', '435990', '383183', '387742', '389713', '392547', '460948', '462916', '384016', '422771', '425231', '431404', '444137', '424899', '440647', '382780', '384015', '459620', '385122', '387367', '387368', '401833', '411434', '385305', '383726', '468453', '386475', '395130', '405121', '423606', '429585', '431787', '387021', '385629', '385641', '396284', '405257', '403700', '462376', '388860', '395451', '410547', '411502', '441570', '386745', '389376', '389378', '394310', '399148', '400220', '406132', '406133', '411114', '432448', '434882', '434883', '442540', '387995', '390931', '407965', '407966', '422673', '433827', '443117', '443118', '393036', '407825', '397998', '398000', '418718', '389412', '393991', '391291', '391743', '393007', '395387', '393235', '398124', '399637', '401668', '404889', '408210', '411674', '411675', '411818', '417215', '419493', '423187', '424608', '425234', '427015', '460889', '462829', '463208', '465350', '427197', '427198', '431402', '431403', '436294', '436585', '456219', '462842', '397433', '397440', '399150', '446898', '455662', '404333', '404334', '396318', '399043', '399046', '438833', '401276', '401278', '408214', '410516', '398120', '425229', '431987', '422769', '444136', '395242', '398086', '399884', '403345', '404463', '406259', '406260', '406261', '409274', '409278', '412562', '412586', '415644', '420598', '430286', '432194', '432196', '434897', '438277', '442273', '442278', '442288', '445064', '447303', '447304', '449842', '452924', '452925', '456125', '456127', '457051', '458288', '459595', '461313', '463109', '463112', '429424', '411507', '399380', '399431', '401220', '403252', '406625', '415329', '415330', '419104', '419107', '423475', '425803', '427741', '430967', '430971', '432132', '432133', '433154', '433156', '433158', '433159', '434848', '435008', '440215', '440216', '440217', '442974', '448586', '452264', '456494', '456611', '458649', '459305', '460435', '465268', '465600', '452928', '399280', '401988', '402265', '406606', '408848', '430483', '430487', '465379', '465922', '405325', '405327', '421689', '466714', '403697', '403695', '465824', '433418', '438457', '449563', '435230', '452506', '409628', '416557', '419056', '426002', '412408', '410125', '410129', '413171', '430836', '408837', '417610', '418891', '418902', '421120', '421123', '421124', '423184', '423189', '427084', '427957', '430378', '431930', '431931', '432860', '432861', '433208', '433213', '435136', '435146', '437016', '437392', '437393', '437546', '444542', '444546', '446624', '446627', '454827', '454829', '454833', '456953', '457175', '412992', '411782', '415453', '420171', '458801', '412625', '427217', '464468', '415178', '420465', '420466', '429988', '414079', '423493', '423499', '426208', '426209', '431121', '432832', '439458', '442591', '445227', '462758', '419285', '417915', '436651', '439891', '418474', '422707', '432464', '433972', '450269', '458939', '444162', '425979', '428266', '428444', '434286', '434287', '440583', '446420', '446421', '458510', '431280', '467940', '428094', '433623', '443797', '427372', '429575', '439322', '455775', '455785', '432659', '432828', '435225', '432670', '432703', '432707', '432830', '432900', '432926', '433047', '433050', '433052', '439918', '439945', '444560', '450711', '451328', '451334', '455069', '461120', '464309', '442646', '435164', '438448', '440307', '440308', '456067', '456066', '434552', '434267', '434268', '450868', '458933', '458935', '441752', '458725', '466766', '461199', '440503', '437415', '437416', '437417', '460492', '461825', '465333', '442566', '439879', '439881', '450867', '443553', '443715', '447337', '454959', '457016', '462966', '451030', '448157', '466566', '454418', '466314', '468618', '458301', '459016', '466412', '460325', '461864', '461811', '465631', '461898', '465776', '464042', '466458', '465697', '465372']",[],
3,University of Waterloo,private,"['362369', '415764', '419715', '419717', '419719', '391904', '391906', '401257', '419710', '362370', '362375']","['Education', 'Science and Technology', 'Research and Development', 'Climate']",ON
4,Natural Resources Canada (NRCan),public,"['362369', '391904', '445434', '455697', '212299', '377825', '385398', '367285', '367288', '397119', '408281', '429506', '432643', '129055', '291989', '387694', '402627', '374453', '384028', '393065', '409849', '427940', '431679', '200611', '200615', '263921', '310157', '368886', '371831', '371840', '373641', '373642', '376700', '376763', '380469', '380471', '383763', '385149', '391840', '410429', '420430', '434011', '441207', '441208', '465198', '465202', '383303', '383304', '468041', '468046', '86615', '86655', '86695', '86715', '90423', '441981', '111316', '447843', '447969', '441697', '463952', '466466', '202597', '375064', '382745', '372663', '375626', '377957', '377915', '390354', '397550', '431997', '160324', '160321', '383909', '394030', '465880', '393448', '406469', '407463', '195025', '310374', '342122', '195020', '207488', '245112', '462509', '461728', '452937', '398671', '151819', '151822', '151830', '251729', '261208', '304354', '310123', '310127', '324786', '337845', '357943', '366512', '370813', '370814', '378481', '381949', '383040', '387232', '392235', '395067', '395517', '398593', '402209', '403241', '405020', '413030', '415801', '423862', '430561', '452016', '465334', '436612', '437085', '378959', '381101', '390231', '442928', '362327', '392690', '405696', '416185', '96683', '163620', '195389', '195403', '195404', '313309', '313314', '374864', '385646', '398862', '403899', '405686', '409093', '413132', '413191', '416166', '416358', '417740', '422212', '433740', '455551', '455556', '460634', '461719', '259073', '273751', '362329', '369587', '369589', '406936', '433711', '439097', '439044', '461602', '382075', '413790', '458681', '211068', '179064', '179084', '385076', '385078', '170547', '366453', '368691', '380427', '402802', '410351', '410357', '414487', '414493', '417781', '454986', '456703', '462539', '412827', '425498', '428805', '430191', '430193', '430199', '433546', '435255', '435261', '438774', '443687', '446637', '459401', '459402', '461750', '462848', '462849', '465037', '412516', '258501', '264130', '264132', '418351', '418353', '195047', '422544', '468416', '384230', '393960', '417854', '428651', '405120', '77462', '77954', '387373', '387377', '387379', '424987', '383535', '383557', '411600', '441883', '132319', '395707', '109322', '324706', '103146', '88152', '88170', '423576', '423577', '426001', '442243', '97447', '100688', '100689', '134534', '101118', '106874', '401854', '93847', '109222', '145732', '111757', '147176', '372715', '391469', '391485', '440532', '383045', '399282', '399285', '410656', '417379', '418572', '427738', '441184', '397741', '416250', '426789', '429072', '429164', '435193', '435203', '439370', '439434', '439471', '442366', '459365', '466974', '444964', '457903', '188187', '267109', '446969', '446970', '452011', '464265', '464266', '451348', '382064', '384251', '409002', '425112', '190108', '193844', '400982', '420120', '422298', '442240', '443622', '467026', '376326', '394458', '398960', '156150', '153191', '452303', '452321', '458200', '377237', '381364', '388476', '435819', '452760', '452766', '447997', '200690', '203668', '171181', '375484', '429608', '227153', '373643', '463989', '398231', '406020', '423258', '433443', '450284', '460795', '462761', '467708', '463993', '202732', '230679', '374061', '381059', '382313', '407398', '376294', '376295', '448694', '456573', '458037', '459666', '465819', '399714', '399715', '427050', '378178', '241431', '392344', '395337', '432741', '324714', '374945', '379701', '379843', '418068', '254795', '254796', '272869', '281809', '327893', '398501', '431247', '387836', '401559', '401560', '427598', '468590', '311756', '311757', '317951', '333235', '461296', '466452', '447160', '410814', '375172', '375815', '366902', '376318', '381741', '404826', '467147', '467959', '383550', '426275', '369951', '369954', '373767', '378342', '365542', '369111', '379834', '391168', '414106', '376920', '379431', '380839', '399890', '402682', '412205', '421957', '451048', '458543', '458545', '391193', '391196', '378738', '378741', '376189', '426470', '439940', '439941', '443215', '381183', '401200', '401201', '376192', '376826', '385608', '387932', '381585', '420782', '374761', '377528', '378268', '380380', '383979', '385625', '385660', '374737', '380124', '377486', '384494', '385276', '385312', '462834', '463132', '398116', '388776', '389631', '378904', '378920', '394588', '415787', '453504', '386450', '462080', '466694', '466713', '467272', '383160', '387742', '392574', '393712', '396248', '432066', '381786', '418483', '432738', '449795', '462836', '463134', '424610', '425231', '436749', '444399', '465353', '450486', '383444', '392343', '395334', '395762', '386475', '386785', '387022', '401213', '385621', '385629', '392858', '396267', '396284', '403615', '405249', '418141', '463423', '403698', '388861', '388862', '388864', '395450', '395453', '395455', '402775', '410461', '411744', '420672', '427565', '441510', '441572', '389344', '389345', '392860', '421347', '432446', '432449', '432450', '433761', '387995', '392456', '405261', '419601', '422673', '423423', '450713', '450728', '456743', '459236', '393040', '393041', '418719', '397996', '418748', '424704', '424772', '393148', '393006', '401990', '395335', '422495', '427013', '418482', '397440', '453719', '455662', '396318', '398117', '407273', '408220', '410506', '410518', '410945', '416964', '422496', '418480', '395332', '439314', '395241', '399886', '403343', '404463', '409276', '415644', '434896', '449807', '452922', '457047', '463049', '463110', '466268', '466269', '399381', '401225', '406625', '409505', '423494', '425797', '425799', '425802', '427741', '433148', '442975', '461746', '465380', '421666', '428508', '433375', '438760', '447095', '447098', '447106', '447335', '409859', '409863', '424590', '419052', '430812', '410126', '421156', '413153', '430832', '468299', '408837', '418902', '433209', '435139', '435166', '444553', '446621', '446625', '466153', '412992', '412633', '427216', '418589', '410726', '411065', '425978', '415177', '415417', '414090', '414091', '423495', '443778', '449824', '449825', '429720', '433934', '433937', '425098', '465191', '431284', '446431', '446466', '433973', '435350', '439447', '439328', '428591', '462769', '433621', '432061', '435162', '436748', '436750', '440300', '440306', '450869', '454403', '454504', '463144', '460492', '461823', '461824', '465333', '467268', '442566', '446990', '448315', '468642', '465509', '466536', '468620', '457606', '458975', '466410', '461809', '465633', '466824', '465516', '465696', '465016', '465017', '468431', '468439']",[],
5,Fisheries and Oceans Canada (DFO),public,"['415764', '391906', '401257', '445434', '398833', '131976', '384229', '428652', '132288', '251870', '85434', '101551', '190106', '435819', '416090', '405307', '433852', '445761', '448450', '453034', '468585', '464027', '366606', '366607', '377377', '384196', '466716', '397430', '465333']",[],
6,"Innovation, Science and Economic Development Canada (ISED)",public,"['419715', '419717', '445434', '462249', '372439', '453815', '453817', '453820', '432924', '427940', '441205', '383293', '383302', '468043', '432544', '450598', '386781', '394006', '463453', '465867', '445096', '446789', '459921', '463450', '393448', '376600', '403230', '452013', '452015', '452017', '455443', '423863', '378932', '436108', '392690', '369591', '385640', '396981', '405693', '405694', '406933', '416195', '455547', '460635', '461719', '388639', '413702', '432275', '447759', '432506', '456253', '438143', '438150', '438154', '438156', '438158', '393938', '411452', '427099', '447150', '366102', '410654', '425535', '433461', '449169', '404551', '407869', '421013', '437613', '372319', '398852', '465038', '452961', '453031', '453032', '453033', '460795', '460796', '462759', '462762', '467708', '466755', '378176', '376905', '379783', '438142', '448134', '448135', '448137', '403799', '408132', '413137', '416080', '375623', '404827', '383526', '426275', '373655', '378452', '416552', '370475', '378743', '373452', '375221', '380340', '380121', '380122', '388775', '378922', '395538', '403779', '468531', '389705', '404865', '383681', '387018', '401211', '441582', '389375', '389377', '389380', '396928', '400203', '406131', '393147', '419009', '410042', '396318', '399049', '399052', '438833', '415552', '434898', '442269', '442277', '463048', '463114', '427741', '440218', '442976', '420668', '465824', '415491', '449567', '405045', '406507', '406518', '428489', '420329', '430830', '468306', '418907', '427958', '412992', '411781', '411783', '416775', '420184', '458811', '412635', '464473', '423496', '423497', '439463', '449822', '439793', '466524', '440579', '440582', '457858', '431123', '439453', '431513', '431514', '431515', '431516', '431517', '431518', '431521', '431522', '432204', '432206', '432658', '437617', '437621', '437626', '437629', '438706', '450496', '450498', '442651', '445881', '454405', '465333', '443562', '443322', '444559', '453900', '466529', '459015', '461635', '461810', '465634']",[],
7,Employment and Social Development Canada (ESDC),public,"['419719', '341473', '456487', '392690', '324706', '467708', '324714', '454414', '383182', '387742', '450718', '392456', '405261', '450713', '459237', '465333', '454416', '468619']",[],
8,Health Canada (HC),public,"['362370', '418880', '304491', '468369', '378491', '230053', '456485', '130254', '395377', '426083', '213548', '410440', '443349', '462842', '465333', '454415']",[],
9,Environment Canada,public,"['362370', '118814', '168110', '129070', '326030', '329488', '157353', '90485', '180423', '200612', '227155', '254109', '263926', '303970', '303971', '310151', '310158', '331201', '362227', '90295', '90458', '90460', '90462', '90464', '90465', '90467', '250031', '198251', '206107', '206127', '222509', '227057', '111294', '199589', '202597', '128694', '168594', '160322', '132835', '117874', '170693', '170694', '195027', '207475', '207483', '223646', '303793', '342127', '356455', '200072', '200077', '245109', '245110', '142963', '304492', '149838', '151828', '153122', '153123', '153124', '154171', '167141', '173066', '185647', '185685', '200147', '218411', '222448', '230061', '230063', '251730', '254172', '263710', '289994', '318269', '333595', '343793', '355305', '167133', '167138', '175165', '230053', '245991', '334731', '100872', '100874', '331190', '96684', '104996', '108896', '161518', '163619', '175303', '175544', '175545', '175546', '259066', '313308', '273750', '365345', '156926', '175549', '184364', '153337', '200239', '223549', '223550', '230671', '245400', '264370', '338774', '211068', '268176', '178944', '253981', '277369', '314750', '218170', '225467', '101112', '217781', '247658', '353172', '355806', '200332', '259599', '217627', '164332', '269209', '269269', '258794', '96857', '80654', '202844', '327351', '190264', '201488', '216167', '318668', '318670', '84614', '100708', '103143', '103144', '103148', '324706', '85436', '100800', '100811', '87326', '87865', '96913', '103138', '103140', '103141', '103142', '103196', '113224', '124885', '124889', '127375', '244420', '318370', '123639', '107715', '101386', '113796', '113797', '157330', '113794', '113798', '113795', '117715', '90469', '110034', '90470', '90475', '90491', '93712', '101124', '101127', '109019', '129515', '90622', '90632', '90636', '90639', '129516', '90640', '129514', '90642', '90648', '93143', '93197', '159991', '96682', '115795', '120457', '120458', '123574', '97319', '100425', '100427', '109915', '97359', '131775', '97428', '97703', '105654', '114156', '114159', '99299', '113875', '233392', '101148', '101153', '109222', '131574', '101371', '101375', '101406', '145732', '157329', '159983', '105376', '106876', '111757', '147175', '147177', '273593', '118754', '119735', '121634', '121635', '125494', '129376', '145901', '132885', '188186', '153357', '159251', '175164', '185687', '188845', '200148', '202568', '205908', '205909', '207388', '212210', '212212', '212214', '213967', '218409', '218412', '218415', '222449', '222450', '222451', '227709', '227710', '232909', '232911', '232929', '237810', '241138', '245990', '263709', '267110', '267111', '267112', '267113', '267114', '267115', '273442', '277750', '283689', '289991', '289992', '294650', '310121', '315692', '324788', '327880', '327881', '333594', '218587', '218588', '300689', '150742', '171627', '190106', '200496', '203407', '227656', '153192', '176245', '156998', '170651', '170652', '171145', '171148', '171852', '175196', '188707', '193302', '193308', '201121', '202416', '202417', '207142', '213047', '216149', '216150', '216151', '216152', '216153', '223136', '223139', '227871', '227873', '227893', '227894', '229751', '233495', '236650', '236651', '236652', '245252', '268049', '268051', '268058', '268060', '268062', '268064', '268067', '273389', '280757', '324899', '327350', '361968', '361970', '286174', '344828', '230088', '241118', '197307', '167737', '166127', '200691', '200694', '203668', '236970', '252722', '252723', '270489', '310061', '310063', '310065', '175115', '194739', '250313', '189679', '245711', '259269', '319126', '355909', '206227', '214687', '192749', '199675', '306250', '202732', '197265', '272393', '241589', '241432', '241430', '324714', '254796', '268951', '268955', '268956', '281850', '304529', '341690', '275824', '311758']",[],
10,Aboriginal Affairs and Northern Development Canada,public,"['362370', '310155', '86654', '86658', '86675', '331188', '324706', '324714']",[],
