idCom,privatesIds,publicsIds,date
374736,[1],[2],2016-03-02
362369,[3],[4],2015-09-21
415764,[3],[5],2017-11-13
419715,[3],[6],2018-01-29
419717,[3],[6],2018-01-30
419719,[3],[7],2018-01-30
391904,[3],[4],2016-11-16
391906,[3],[5],2016-11-16
401257,[3],[5],2017-04-21
419710,[3],[2],2018-01-29
362370,[3],"[8, 8, 9, 9, 9, 9, 10, 10]",2015-09-22
362375,[3],"[11, 12, 11]",2015-09-23
400586,[13],"[14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]",2017-05-02
118814,[15],[9],2009-08-25
334192,[16],"[17, 17]",2014-09-04
418040,[16],"[2, 2, 2]",2017-12-18
418043,[16],"[18, 18]",2017-12-18
423931,[16],"[2, 2]",2018-03-14
458142,[16],"[14, 14]",2019-08-02
382956,[16],"[2, 2]",2016-08-19
456884,[19],[14],2019-06-12
458399,[19],"[14, 14]",2019-07-09
375224,[20],[2],2016-03-16
393719,[21],[2],2017-02-07
418880,[21],"[8, 8]",2018-02-06
128918,[22],"[23, 23]",2009-10-20
433434,[24],"[2, 2, 2]",2018-08-30
466626,[24],[2],2020-02-25
344586,[25],"[26, 26]",2015-01-23
373646,[25],[2],2016-03-29
377920,[25],[2],2016-05-31
387104,[25],[2],2016-11-08
445434,[27],"[28, 5, 17, 6, 29, 11, 30, 2, 4]",2019-01-22
442419,[27],[2],2018-11-21
455663,[27],"[14, 14, 14, 14, 14, 14, 14, 14]",2019-05-14
455697,[27],[4],2019-05-15
355204,[31],[17],2015-05-15
356009,[31],[32],2015-05-08
364896,[31],[33],2015-11-26
379555,[31],[14],2016-05-26
379615,[31],[34],2016-05-02
379623,[31],[35],2016-05-03
379628,[31],[18],2016-05-03
379629,[31],[35],2016-05-02
379632,[31],[33],2016-05-18
379636,[31],"[17, 17, 30]",2016-05-18
379642,[31],[17],2016-05-18
382359,[31],[14],2016-08-02
379569,[31],[32],2016-05-02
383532,[31],"[11, 11]",2016-08-30
359698,[31],[32],2015-07-09
359846,[31],[17],2015-07-09
359847,[31],[36],2015-07-09
359848,[31],[36],2015-07-09
359850,[31],[17],2015-07-09
359853,[31],[17],2015-08-06
374827,[31],[14],2016-03-22
374829,[31],[14],2016-03-22
374839,[31],"[2, 2]",2016-03-02
377100,[31],[14],2016-04-12
377101,[31],[14],2016-04-21
382356,[31],[14],2016-07-28
383527,[31],[2],2016-08-15
385788,[31],[14],2016-09-20
385790,[31],[14],2016-09-06
385793,[31],[14],2016-09-13
394574,[31],[32],2017-01-31
398789,[31],[14],2017-03-09
409374,[31],[14],2017-09-19
409375,[31],[14],2017-09-20
439829,[31],[2],2018-10-31
168108,[31],[18],2011-03-07
168110,[31],[9],2011-03-07
465646,[37],"[18, 18, 18]",2020-02-18
465647,[37],"[2, 2]",2020-02-18
465648,[37],"[23, 23]",2020-02-18
212299,[38],[4],2012-02-16
377825,[38],[4],2016-04-13
377827,[38],[2],2016-05-03
225347,[38],"[14, 14, 14]",2012-05-28
225367,[38],"[32, 32, 32]",2012-05-31
356245,[38],"[18, 18]",2015-06-12
366526,[38],[14],2016-01-12
376137,[39],[32],2016-04-01
421185,[39],[14],2018-02-02
462249,[39],[6],2019-12-01
366083,[39],[2],2015-12-03
381576,[39],[14],2016-06-16
385398,[39],[4],2016-09-15
407517,[39],"[2, 2, 2, 2]",2017-08-31
367285,[40],[4],2016-01-06
