id,sectors
1,"{'Climate': 2, 'Energy': 1}"
3,"{'Immigration': 7, 'Research and Development': 233, 'Economic Development': 49, 'Science and Technology': 264, 'International Relations': 11, 'Industry': 51, 'Small Business': 10, 'Education': 103, 'Employment and Training': 23, 'Labour': 1, 'Transportation': 1, 'Regional Development': 79, 'Environment': 21, 'Health': 9, 'Infrastructure': 62, 'Budget': 31, 'Intellectual Property': 9, 'Security': 15, 'Climate': 11, 'Government Procurement': 1, 'Energy': 3, 'International Trade': 1, 'International Development': 2, 'School of Public Service': 2, 'Government Career Fair': 1, 'Budget Announcement January 27/09': 1, 'Budget announcement': 1, 'No specific ask, reaction to budget': 1, 'No specific ask': 1, 'Human Resources': 3}"
13,"{'Climate': 1, 'Environment': 1, 'Energy': 1, 'Health': 1}"
15,"{'Environment': 2, 'climate change policy': 1, 'Energy': 1}"
16,"{'Financial Institutions': 6, 'Climate': 18, 'Economic Development': 8, 'Environment': 4, 'Industry': 1, 'Health': 1, 'Consumer Issues': 1}"
19,"{'Science and Technology': 181, 'Education': 836, 'Research and Development (R&D)': 490, 'Intellectual Property': 81, 'Aboriginal Affairs': 178, 'Arts and Culture': 3, 'Budget': 305, 'Employment and Training': 171, 'International Relations': 257, 'International Trade': 99, 'Immigration': 55, 'International Development': 18, 'Infrastructure': 83, 'Industry': 8, 'Telecommunications': 1, 'Privacy and Access to Information': 5, 'Economic Development': 33, 'Regional Development': 6, 'Tourism': 1, 'Health': 14, 'Municipalities': 2, 'Climate': 3, 'Security': 3, 'Agriculture': 2, 'Taxation and Finance': 5, 'Environment': 1, 'Official Languages': 2, 'Small Business': 1, 'International Academic and Student Mobility': 38, 'Aboriginal Education': 26, 'University Research': 62, 'International Cooperation and Development': 18, 'Budget 2010': 3, 'Integrity Issues': 1, 'Submission to House Finance Committee': 1, 'Student Recruitment': 1, '2010 Budget': 4, 'Education and Higher Education': 62, 'Student Assistance': 11, 'International Academic Mobility': 2, 'To discuss possible participation of the Minister to the launch of Momentum, an AUCC publication on the results of university research': 1}"
20,"{'Environment': 703, 'Fisheries': 5, 'Climate': 1, 'Energy': 1}"
21,"{'International Trade': 98, 'Agriculture': 204, 'Taxation and Finance': 3, 'International Relations': 4, 'Labour': 4, 'Employment and Training': 2, 'Immigration': 2, 'Industry': 17, 'Intellectual Property': 99, 'Research and Development': 105, 'Economic Development': 11, 'Science and Technology': 90, 'Consumer Issues': 6, 'Environment': 10, 'Climate': 2, 'Health': 12}"
22,"{'International Trade': 27, 'Agriculture': 29, ""WTO Negotiations on Agriculture with respect to Canada's supply management system"": 11, 'Research': 4, 'Federal-Provincial Relations': 4, 'Environment': 3, 'Consumer Issues': 4, 'Health': 2, 'Labelling': 4, ""DFC Annual Dairy Policy Conference & DFC's 75th anniversary"": 2, 'Dairy Product Regluations': 2, 'Growing Forward Implementation': 1, 'dairy industry': 3, ""FPT Agriculture Ministers' Meeting"": 1, 'Canada-EU trade with respect to supply management and dairy': 1, 'Dairy Supply Management': 1, 'Dairy Product Regulations': 2, 'Internal Trade': 2, 'dairy production research': 2, 'dairy ingredients': 1, 'environment with respect to climate change': 1, 'traceability': 2}"
24,"{'Agriculture': 62, 'Research and Development (R&D)': 39, 'Science and Technology': 31, 'Regional Development': 2, 'Environment': 4, 'Forestry': 1, 'Economic Development': 19, 'International Relations': 2, 'Arts and Culture': 2, 'Infrastructure': 7, 'Climate': 2, 'Health': 10, 'Employment and Training': 3, 'Education': 12, 'Aboriginal Affairs': 3, 'International Trade': 1, 'Tourism': 1, 'Canadian Veterinary Schools interactions with CFIA; discussion on role of veterinary schools in public health': 1, 'In-year project proposal developed by one of the OVC Veterinary students who is enrolled in the CFIA veterinary internship program.': 1, 'National Forum on Management': 1, 'Deputy Minister University Champion Program': 1, 'Strategy for Canadian Agrifood Policy': 1, 'General meeting and introductions': 2}"
